LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
440000,1,1,43,429309,437906,447326,447112,438187,447543,15715,16519,16513,15800,16531,15677,NO
210000,1,1,64,205601,203957,199882,203776,205901,210006,9700,8810,9000,7300,7500,7600,NO
250000,2,1,50,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,NO
160000,2,1,65,79201,69376,66192,16905,0,19789,3783,2268,16905,0,19789,26442,NO
140000,1,1,48,135206,135316,134943,135772,138675,137197,5082,5008,5000,6016,5018,5264,NO
150000,2,1,65,0,1250,0,3871,6200,336,1250,0,3871,6200,336,0,NO
300000,1,1,34,4984,752,3737,1433,5522,3233,756,3753,1433,5522,0,27232,NO
70000,2,1,25,64670,66197,70867,54425,55555,48530,3166,6550,0,2033,1915,1708,NO
250000,1,1,68,173907,177484,177946,159849,145461,141487,6504,6243,5446,4721,4385,7805,NO
250000,1,1,67,177484,177946,159849,145461,141487,147705,6243,5446,4721,4385,7805,200,NO
50000,2,2,32,49546,48480,48621,17793,18224,18612,0,2200,700,700,674,608,NO
50000,2,1,38,54084,51564,50733,30363,30444,30482,0,2504,1200,1500,1100,1301,NO
180000,1,1,52,12216,13724,15495,16232,16958,17685,1724,2000,1300,1000,1000,792,NO
180000,2,1,70,162647,157533,153351,144086,118645,104652,5644,5962,4374,3895,3691,3694,NO
200000,2,2,63,7109,9999,5300,5300,0,0,10025,5300,0,0,0,0,NO
350000,1,1,38,100895,70244,64839,57583,45554,37063,3371,2089,3008,1300,1500,1372,NO
350000,1,1,66,106813,100895,70244,64839,57583,45554,4000,3371,2089,3008,1300,1500,NO
360000,2,1,33,1960,732,735,-10,-10,-10,800,3,0,0,0,0,NO
20000,1,1,42,18516,19193,18578,17989,19533,20039,1700,2000,2000,2000,831,400,NO
50000,2,1,64,12196,13985,15750,17434,19220,17822,2000,2000,2000,2000,605,1000,NO
80000,2,1,70,79862,80921,79627,80610,62447,60850,3000,3000,3000,2324,2500,3000,NO
120000,2,1,40,106775,108715,100937,102939,105307,106617,3810,3700,3658,4000,4515,3500,NO
160000,2,1,40,498,135,0,0,0,508,135,0,0,0,508,1287,NO
200000,2,1,27,45870,46907,47952,49052,49936,50977,2100,2100,2200,2000,2000,2011,NO
200000,1,1,57,83858,66979,65728,64490,53186,52136,3207,3042,2100,2008,2508,2000,NO
200000,2,1,49,106878,100879,102998,105090,107718,88964,4000,3800,3802,4363,3500,3303,NO
360000,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0,NO
430000,1,1,23,3658,1962,6591,854,44275,32731,1962,6591,1026,50000,0,3000,NO
500000,1,1,48,1149,203,15183,3399,8311,-2,205,15259,3416,8353,0,0,NO
500000,1,1,35,1200,5652,271,1234,1015,3579,5652,271,1234,1015,3579,2053,NO
90000,2,1,41,2000,1000,1000,1000,1052,69237,0,1000,1000,1052,71062,3000,NO
180000,2,1,55,127933,133279,127636,138164,142921,153691,15000,12000,20000,10000,20000,5000,NO
200000,1,2,44,203533,204149,179350,152525,152765,152680,8870,7578,5700,5882,5799,5888,NO
370000,1,1,70,8207,11054,15840,20542,25255,30034,3000,5000,5000,5000,5000,5000,NO
30000,2,1,67,27943,30734,28092,29112,29555,28536,3580,0,1800,1200,1083,1200,NO
