cnt_bike,atemp,hum,windspeed,temp,holiday,workingday
985,18.18,80.58,10.75,14.11,0,0
801,17.69,69.61,16.65,14.9,0,0
1349,9.47,43.73,16.64,8.05,0,1
1562,10.61,59.04,10.74,8.2,0,1
1600,11.46,43.7,12.52,9.31,0,1
1606,11.66,51.83,6,8.38,0,1
1510,10.44,49.87,11.3,8.06,0,1
959,8.11,53.58,17.88,6.77,0,0
822,5.81,43.42,24.25,5.67,0,0
1321,7.54,48.29,14.96,6.18,0,1
1263,9.57,68.64,8.18,6.93,0,1
1162,8.02,59.95,20.41,7.08,0,1
1406,7.54,47.04,20.17,6.77,0,1
1421,9.42,53.78,8.48,6.6,0,1
1248,12.41,49.88,10.58,9.57,0,0
1204,11.71,48.38,12.63,9.5,0,0
1000,8.84,53.75,13,7.21,1,0
683,11.62,86.17,9.83,8.88,0,1
1650,14.92,74.17,13.96,11.98,0,1
1927,12.75,53.83,13.13,10.73,0,1
1543,7.89,45.71,23.67,7.28,0,1
981,3.95,40,11.52,2.42,0,0
986,4.94,43.65,16.52,3.96,0,0
1416,5.9,49.17,10.61,3.99,0,1
1985,11.73,61.7,8.7,9.16,0,1
506,10.18,86.25,19.69,8.92,0,1
431,10.99,68.75,7.63,8,0,1
1167,11.17,79.3,8.26,8.34,0,1
1098,10.61,65.17,9.74,8.06,0,0
1096,12.52,72.22,4.96,8.88,0,0
1501,9.31,60.38,12.54,7.41,0,1
1360,11.73,82.96,3.57,7.88,0,1
1526,12.72,77.54,17.71,10.66,0,1
1550,8.89,43.78,18.61,7.67,0,1
1708,11.43,58.52,8.57,8.66,0,1
1005,12.15,92.92,10.79,9.57,0,0
1623,14.58,56.83,9.5,11.72,0,0
1712,15.18,73.83,3.04,11.14,0,1
1530,9.91,53.79,24.25,9.05,0,1
1605,7.21,49.48,12.65,5.53,0,1
1538,7.48,43.74,14.87,5.92,0,1
1746,10.68,50.64,7.27,7.75,0,1
1472,11.65,54.42,13.63,9.12,0,0
1589,16.21,45.74,17.48,12.98,0,0
1913,19.92,37.58,28,17.02,0,1
1815,12.71,31.43,19.52,10.91,0,1
2115,15.81,42.35,16.87,13.05,0,1
2475,21.43,50.5,15.42,17.87,0,1
2927,25.6,51.67,17.75,21.39,0,1
1635,19.57,18.79,34,16.37,0,0
1812,13.87,40.78,14.96,11.69,0,0
1107,14.2,60.5,20.63,12.44,1,0
1450,9.3,57.78,13.11,7.47,0,1
1917,12.29,42.3,6.31,9.09,0,1
1807,14.46,69.74,16.78,12.12,0,1
1461,17.52,71.22,23.22,14.94,0,1
1969,14.11,53.79,12.5,11.58,0,0
2402,17.56,68,8.39,14.08,0,0
1446,20.01,87.64,19.41,16.7,0,1
1851,13.19,53.5,14.5,10.93,0,1
2134,16,44.96,20.62,13.74,0,1
1685,10.01,31.83,15.13,8.13,0,1
1944,12.78,61.04,13.62,10.73,0,1
2077,18.94,78.92,16.88,15.75,0,0
605,18.31,94.83,23,15.44,0,0
1872,11.92,55.13,22.87,10.73,0,1
2133,15.12,42.08,8.08,11.99,0,1
1891,14.33,77.54,14.75,12.13,0,1
623,19.28,0,17.55,15.95,0,1
1977,15.25,64.96,15.61,12.98,0,1
2132,16.29,59.46,14.79,13.5,0,0
2417,19,52.74,18.13,15.76,0,0
2046,16.6,49.7,9.17,13.33,0,1
2056,15.91,65.57,12.35,13.01,0,1
2192,18.35,77.65,13.61,14.97,0,1
2744,20.52,60.29,14.04,17.02,0,1
3239,26.35,52.52,15.48,22.14,0,1
3117,23.33,37.92,24.67,19.37,0,0
2471,16.29,47.38,13.92,13.63,0,0
2077,20.49,73.74,19.35,17.65,0,1
2703,22.03,62.46,15.13,18.11,0,1
2121,16.9,83.96,15.7,14.23,0,1
1865,13.54,80.58,16.33,11.69,0,1
2210,12.82,49.5,15.46,10.83,0,1
2496,12.88,39.42,14.04,10.9,0,0
1693,12.52,49.39,12.35,10.37,0,0
2028,12.88,30.22,14.22,10.84,0,1
2425,14.65,31.42,15.21,12.4,0,1
1536,14.87,64.67,11.58,12.3,0,1
1685,12.88,91.83,14.58,11,0,1
2227,14.17,68.63,17.33,12.3,0,1
2252,15.78,65.38,13.21,12.92,0,0
3249,18.94,48,12.21,15.51,0,0
3115,27.15,42.63,25.83,23.51,0,1
1795,19.92,64.21,26,16.98,0,1
2808,19.38,47.08,17.63,16.02,0,1
3141,21.68,60.29,10.87,17.94,0,1
1471,16.22,83.63,15.21,13.77,0,1
2455,17.08,87.75,8.92,14.04,0,0
2895,21.34,85.75,9.83,17.49,0,0
3348,28.26,71.7,21.74,24.42,0,1
2034,24.65,73.92,18.42,20.6,0,1
2162,20.86,81.92,16.79,16.91,0,1
3267,23.14,54.04,7.42,19.17,0,1
3126,22.1,67.13,15.17,18.31,1,0
795,21.27,88.83,22.83,17.66,0,0
3744,22.28,47.96,20.33,18.72,0,0
3429,25.16,54.25,10.96,21.01,0,1
3204,24.46,66.58,10.58,20.74,0,1
3944,28.22,61.42,16.21,24.4,0,1
